timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1564164021631464,64,2,23,42,29,11,6,26
1564164021631464,-42,-3,-4,-17,-5,2,-3,-26
1564164021631963,10,3,-4,13,-3,2,4,-6
1564164021631963,-12,12,2,-39,-25,-16,-27,-7
1564164021654421,-33,-17,-7,12,-5,-2,-3,-7
1564164021654421,63,5,-12,-4,9,10,16,3
1564164021655420,35,7,6,13,9,1,-7,7
1564164021655420,12,15,-12,-24,-11,-1,5,11
1564164021667896,-20,-16,-1,13,9,-5,-6,-2
1564164021667896,-22,-11,-6,-22,-14,-7,-13,-12
1564164021676381,-16,6,11,10,4,3,7,-7
1564164021676381,80,-2,-6,17,8,7,7,21
1564164021699341,34,30,6,-21,-17,-11,-3,2
1564164021699341,-81,-34,-6,-16,6,6,-4,-19
1564164021700836,2,-1,5,32,6,1,22,9
1564164021700836,-40,3,0,-1,6,-2,-6,-1
1564164021713312,-22,1,5,-15,-11,-5,-16,-18
1564164021713312,55,1,-18,-6,-8,-4,2,10
1564164021722295,-5,-8,6,0,3,0,-6,-9
1564164021722295,-19,9,10,16,8,2,2,0
1564164021736768,-4,-21,-13,-5,-7,-7,-7,5
1564164021736768,25,31,5,-7,-11,-12,-19,-10
1564164021738765,34,10,1,-5,-1,10,22,18
1564164021738765,-56,-24,-1,11,0,-9,-27,-29
1564164021759227,-21,-7,2,0,-1,1,17,3
1564164021759227,-9,9,6,8,3,6,10,16
1564164021761223,-36,-31,-19,-7,-3,-9,-16,-20
1564164021761223,19,10,-5,-11,-4,-5,-11,-4
1564164021773700,48,5,6,0,-3,8,34,17
1564164021773700,-6,-6,-1,-6,-2,-2,-12,-6
1564164021780687,-37,6,-3,-14,-7,-6,-1,-10
1564164021780687,26,-2,8,30,1,3,3,11
1564164021797655,-22,-11,-7,10,11,-5,-19,-13
1564164021797655,-65,-5,-3,-15,0,1,8,-7
1564164021799153,63,14,1,4,1,3,-3,13
1564164021799153,-51,-19,0,-17,-17,-3,6,-14
1564164021819615,-10,15,-1,3,2,-5,-33,-22
1564164021819615,1,-5,7,4,5,5,14,6
1564164021821113,-23,-3,0,-2,-2,0,7,3
1564164021821113,25,0,-1,-9,-2,0,6,4
1564164021833589,7,-9,-6,4,-1,3,9,11
1564164021833589,-47,19,-3,-18,-9,-15,-26,-16
1564164021848061,65,-5,2,9,7,8,24,22
1564164021848061,-12,-4,-2,-6,0,2,-4,-6
1564164021857045,4,4,-4,7,0,4,2,-8
1564164021857045,25,13,12,14,-4,-11,-8,7
1564164021858543,-29,-17,-2,-23,-7,-3,-6,-5
1564164021858543,10,-3,-8,3,9,4,4,4
1564164021879503,-11,0,3,6,-2,-3,1,10
1564164021879503,16,-19,-9,-1,-2,5,2,-5
1564164021881001,-25,11,6,6,-3,1,16,-7
1564164021881001,10,-4,-8,-8,-3,-2,-2,-2
1564164021893976,-54,-13,-2,-6,-1,1,-15,-15
1564164021893976,59,7,2,14,4,2,16,16
1564164021900465,-13,-1,-1,-4,1,-1,-7,-6
1564164021900465,-1,3,-11,-15,-8,-6,-8,-10
1564164021916934,-14,4,2,-1,4,1,5,7
1564164021916934,-2,-8,-3,-16,-10,-3,-13,0
1564164021922923,-15,6,3,32,23,12,14,3
1564164021922923,-2,-16,10,5,-3,-5,-2,-2
1564164021939392,-8,12,-14,-26,-10,-9,-17,-5
1564164021939392,-1,-24,-8,21,7,5,5,11
1564164021940890,-4,-7,-2,-13,-6,0,3,-12
1564164021940890,9,-2,4,-2,-4,-1,-2,4
1564164021953865,-24,0,4,-1,2,2,10,-11
1564164021953865,-3,12,0,-8,-5,-4,-2,-7
1564164021960852,14,-2,-6,-4,-6,-7,-11,8
1564164021960852,-10,13,3,4,4,4,11,0
1564164021976822,17,-11,-1,-2,-2,-1,-11,-1
1564164021976822,-11,-12,-3,-2,2,0,15,0
1564164021978819,18,4,-6,-7,-4,-7,-12,0
1564164021978819,-24,1,5,-8,-4,3,3,-9
1564164022000778,-39,-3,-3,12,12,7,18,5
1564164022000778,20,-2,4,9,3,2,-2,5
1564164022002774,-4,-5,-5,-11,-3,-6,-7,-3
1564164022002774,18,7,4,4,-5,-3,-2,2
1564164022013753,-12,-8,-12,-13,-10,-10,-12,-4
1564164022013753,42,10,3,1,2,8,25,22
1564164022020741,-72,-27,-2,-2,2,4,-4,-34
1564164022020741,28,21,-3,-23,-6,-4,-2,8
1564164022037216,21,-24,3,24,1,0,21,15
1564164022037216,-28,5,0,10,8,0,-7,-8
1564164022038708,38,6,3,-4,-9,-5,-15,8
1564164022038708,-41,-17,-4,-8,3,5,3,-15
1564164022059669,26,9,3,5,-9,2,2,5
1564164022059669,-2,8,-10,-13,-1,-5,-19,-15
1564164022061166,-1,-2,4,5,2,0,8,12
1564164022061166,1,-6,-3,5,-1,-6,-7,-5
1564164022074142,-6,5,3,-5,2,-1,-8,-8
1564164022074142,24,-4,-3,-10,-16,-4,2,0
1564164022080629,-4,5,2,15,10,5,4,8
1564164022080629,4,3,2,2,-4,-8,-7,-1
1564164022097099,18,3,-11,-11,4,4,12,7
1564164022097099,-35,-8,7,-4,0,1,-4,-18
1564164022098597,4,-7,-6,9,3,-5,-5,4
1564164022098597,-7,6,-3,1,-4,-1,3,-2
1564164022119059,23,9,5,1,1,2,7,7
1564164022119059,-7,4,3,-2,2,-4,-7,-1
1564164022125546,-22,-10,-13,-39,-18,-8,-3,-15
1564164022125546,46,-10,-1,36,6,1,1,16
1564164022133034,-5,16,9,-9,-4,-4,-3,-4
1564164022133034,-17,-15,-13,-11,-6,0,2,-2
1564164022142015,13,-1,7,12,6,1,-5,-1
1564164022142015,8,-8,-12,-7,3,-2,-2,-3
1564164022156988,8,13,5,0,-7,1,-5,2
1564164022156988,-32,-19,3,3,-2,-4,-8,-9
1564164022158485,17,13,0,1,3,3,9,9
1564164022158485,-16,-4,2,-8,1,6,5,-6
1564164022179446,15,-8,-5,-3,-5,-7,-18,2
1564164022179446,0,23,8,-3,2,0,1,-10
1564164022180943,21,-2,-2,-3,-12,-3,-3,12
1564164022180943,-61,-23,-4,11,12,1,13,-4
1564164022192921,0,6,2,3,1,-2,-12,-3
1564164022192921,16,-6,-3,-10,-10,-5,-6,4
1564164022201904,-36,9,2,4,4,4,3,-19
1564164022201904,28,6,-2,0,0,-4,-4,13
1564164022218375,-43,-17,-1,-3,-2,-1,-3,-17
1564164022218375,-1,-6,3,-9,-2,-5,-4,2
1564164022219871,26,3,5,15,5,-1,-4,7
1564164022219871,-1,-1,-4,-6,-5,2,10,1
1564164022239334,8,8,-9,-5,4,2,6,-1
1564164022239334,-15,-4,4,-5,-5,-5,-21,-8
1564164022241331,16,10,0,2,-8,0,22,9
1564164022241331,37,-1,-2,-10,7,3,-2,14
1564164022261793,-40,-10,-2,13,-2,-7,-10,-15
1564164022261793,21,2,-2,-4,0,1,4,6
1564164022263791,-30,-7,-7,-3,1,2,-6,-1
1564164022263791,19,5,5,8,3,1,-1,-10
1564164022278264,2,6,3,-9,-8,-1,-1,4
1564164022278264,-15,-16,-8,2,2,-1,-2,-2
1564164022279760,31,-1,5,16,-5,-6,-1,4
1564164022279760,6,0,-12,-26,-6,-2,-4,-2
1564164022299224,-44,0,0,-12,-5,-2,8,-16
1564164022299224,52,11,2,23,9,5,0,13
1564164022301221,-9,-12,-7,-21,-14,-7,-8,-8
1564164022301221,-23,5,11,31,16,1,5,6
1564164022322182,-14,-2,-3,-7,-3,-1,-12,-15
1564164022322182,2,-1,2,6,0,1,10,9
1564164022323678,-5,1,-2,-22,-6,-1,-4,1
1564164022323678,-16,-23,-6,-3,-11,-3,-10,-16
1564164022337154,46,22,2,2,2,2,6,14
1564164022337154,-66,-7,1,-12,5,4,5,-15
1564164022338651,65,-3,1,33,-1,-2,-12,17
1564164022338651,-44,-1,-15,-10,10,6,24,-12
1564164022359610,11,-3,-1,-6,-1,-3,-9,6
1564164022359610,26,-7,-6,4,-8,-3,9,12
1564164022361108,-40,4,2,-11,8,-1,-10,-23
1564164022361108,6,7,1,6,-7,-5,-15,3
1564164022373085,11,-14,0,-1,-2,1,3,-3
1564164022373085,-41,10,-2,-4,-5,-1,-6,-10
1564164022382069,72,25,1,-24,1,3,14,26
1564164022382069,-46,-13,3,24,0,-4,-11,-17
1564164022396043,19,-16,-4,-6,4,3,7,7
1564164022396043,27,45,11,-8,-15,-9,-9,1
1564164022404528,-46,-54,-17,8,8,3,-3,-15
1564164022404528,-13,16,0,-35,8,12,19,3
1564164022419499,31,-14,-1,16,4,-3,-14,7
1564164022419499,-32,-9,0,8,0,-11,-1,-11
1564164022420997,-7,16,4,-4,-10,-3,3,4
1564164022420997,29,22,9,-14,-10,-7,-16,-2
1564164022432975,-34,-13,-4,8,-8,2,14,3
1564164022432975,24,-4,-2,-3,9,-2,-3,3
1564164022441960,-26,-10,-4,5,7,-10,-21,-27
1564164022441960,-42,-11,1,-15,-6,6,16,4
1564164022456931,41,14,3,18,-1,-1,-5,15
1564164022456931,-10,-23,-1,-14,6,18,19,-6
1564164022458428,-8,31,10,-2,1,-2,22,22
1564164022458428,47,2,-4,14,-7,-8,-10,-1
1564164022479388,-17,-16,-5,-6,0,-8,-1,0
1564164022479388,-28,12,14,15,5,1,-10,-7
1564164022480885,-27,-15,0,-6,0,4,-12,-26
1564164022480885,-6,10,10,3,1,-2,5,19
1564164022492865,50,11,6,8,-5,-8,-17,-4
1564164022492865,3,-21,-12,2,9,8,20,17
1564164022502346,-32,-20,-3,-14,-4,3,0,-25
1564164022502346,-27,0,-10,-21,-11,-12,-12,-6
1564164022516837,-7,4,7,4,0,4,-5,-9
1564164022516837,27,-3,-5,7,4,-10,-32,-14
1564164022518316,-25,6,8,14,-5,-4,8,-6
1564164022518316,29,-26,-5,9,-2,6,8,12
1564164022539296,-44,27,5,10,15,0,8,19
1564164022539296,65,-6,0,-17,-5,9,23,14
1564164022540774,57,-5,-22,-39,-20,-20,-27,-12
1564164022540774,-21,-10,-3,25,-4,2,-6,-20
1564164022561735,17,-46,-18,7,7,0,-3,-11
1564164022561735,10,29,6,8,-14,-12,0,14
1564164022563731,-4,8,4,-7,14,9,2,2
1564164022563731,-40,-26,3,5,-10,-6,-4,2
1564164022577209,64,6,-27,-90,-13,6,23,19
1564164022577209,-73,-36,-11,50,-12,-10,-19,-29
1564164022578707,43,-10,1,2,3,-12,-34,2
1564164022578707,20,15,-7,-2,9,-1,1,-16
1564164022599665,-29,5,11,44,18,29,51,26
1564164022599665,71,44,13,-109,-38,-11,-2,15
1564164022601168,35,-14,-19,67,5,-7,-11,9
1564164022601168,4,-13,-5,6,17,5,-4,-17
1564164022629609,-28,28,20,-27,-25,-7,-2,-11
1564164022629609,42,-9,-20,-3,-3,-18,-27,-18
1564164022631106,-78,-12,-7,15,7,19,17,28
1564164022631106,106,24,25,-26,4,7,37,54
1564164022637095,-126,-20,-6,29,1,-18,-48,-52
1564164022637095,32,-28,0,-26,-4,3,31,31
1564164022638593,-48,17,-6,-56,-22,-12,-33,-61
1564164022638593,-2,14,14,61,17,0,-6,6
1564164022659553,45,16,-1,-7,-4,-2,-6,-16
1564164022659553,-82,-34,-7,4,-4,-2,-7,-2
1564164022661050,-3,-40,-5,-11,-5,-4,16,16
1564164022661050,-37,20,15,-76,-48,-11,-6,-10
1564164022682015,-27,4,-2,94,57,10,13,-4
1564164022682015,30,20,-18,-4,20,18,14,17
1564164022683509,0,9,-9,20,-4,-2,-16,-14
1564164022683509,-46,2,-2,-60,-28,-23,-24,-29
1564164022696486,48,-7,14,-22,-30,-6,0,24
1564164022696486,115,6,15,64,6,-12,-26,-10
1564164022702973,-69,-30,-12,-5,28,22,46,44
1564164022702973,-94,-2,-11,-3,-6,-18,-65,-106
1564164022719442,13,7,9,-13,20,22,42,56
1564164022719442,53,13,13,24,26,16,19,56
1564164022720940,-39,-20,-30,-12,-46,-39,-50,-56
1564164022720940,-35,-8,5,43,23,16,27,24
1564164022741899,-26,-24,-7,-66,-40,-22,-18,-15
1564164022741899,24,30,3,34,29,9,-4,-20
1564164022743401,-64,8,37,-1,4,11,-3,-26
1564164022743401,127,-8,-34,-27,-15,-5,-14,16
1564164022756373,48,-6,-14,10,3,-9,5,57
1564164022756373,-128,-10,1,-37,-38,-2,54,-35
1564164022763361,81,57,33,71,54,17,11,44
1564164022763361,-5,-38,-38,-39,-23,-8,-36,-4
1564164022779334,-56,48,25,4,-12,-8,-7,-78
1564164022779334,-49,-11,-9,25,26,6,-21,-21
1564164022780828,107,0,16,9,6,1,6,27
1564164022780828,-57,25,14,14,14,20,33,46
1564164022801793,40,0,-2,1,-17,-4,-22,-1
1564164022801793,-80,-22,-25,-32,-4,-6,-10,-34
1564164022803287,25,26,21,-15,-3,3,27,36
1564164022803287,127,89,14,48,1,7,-6,20
1564164022816265,-53,-67,-35,-44,-16,-13,-50,-51
1564164022816265,76,2,43,86,43,24,55,63
1564164022830736,-13,48,12,-8,-20,-15,-18,-61
1564164022830736,25,-46,7,0,6,2,15,13
1564164022839719,-46,49,-13,-18,13,12,20,-6
1564164022839719,109,2,13,-16,-13,1,2,88
1564164022841216,-74,-14,-3,-20,-33,-11,-15,-36
1564164022841216,19,43,-16,10,26,12,58,39
1564164022862177,-102,-69,2,26,15,-5,-35,-41
1564164022862177,55,15,1,13,-6,-7,-9,21
1564164022863678,-100,-16,-14,-16,18,12,22,-5
1564164022863678,-23,-5,-1,-32,-30,-19,-14,-2
1564164022876151,111,21,12,13,3,0,8,41
1564164022876151,-62,52,8,24,14,12,-11,6
1564164022883137,96,-81,-50,-52,-18,-6,-7,4
1564164022883137,-110,-8,-1,19,-10,-22,-31,-60
1564164022907097,96,41,13,24,12,19,23,26
1564164022907097,-128,-79,-26,-42,-21,-21,-21,-68
1564164022908594,-30,74,30,13,7,13,12,4
1564164022908594,120,-41,1,30,24,13,18,64
1564164022922065,-117,-28,-18,-33,-24,-19,-27,-43
1564164022922065,-38,28,-3,-18,-19,-11,-3,-28
1564164022923563,-83,-9,21,-33,-9,8,-11,13
1564164022923563,33,-42,-26,64,37,16,37,9
1564164022936542,-64,-2,-12,-55,-33,-25,-23,-4
1564164022936542,19,12,5,59,38,13,1,-11
1564164022943028,-43,34,13,-6,-18,2,-10,1
1564164022943028,-88,-55,-6,-8,13,6,40,10
1564164022959996,14,30,6,-6,2,1,-7,-10
1564164022959996,-97,-21,-17,23,-22,-13,-14,8
1564164022961492,7,-34,-8,31,24,-3,-22,-26
1564164022961492,52,64,13,-44,-11,4,1,21
1564164022981955,-72,-37,-22,16,5,7,17,-61
1564164022981955,-20,-31,0,-42,-46,-34,-36,-31
1564164022983455,27,-12,-8,26,16,13,17,27
1564164022983455,-3,48,-1,-17,-6,-9,-12,-16
1564164022996428,37,-31,2,8,15,6,16,32
1564164022996428,-12,18,-3,-19,-6,11,2,-16
1564164023002915,20,-4,-11,1,-4,-16,-15,10
1564164023002915,0,-22,13,-4,4,-1,2,1
1564164023019388,-4,30,10,22,2,11,9,11
1564164023019388,52,-13,-13,-24,-5,-5,-17,-4
1564164023020882,78,-3,-13,9,-1,-5,0,7
1564164023020882,-128,-19,2,-28,-13,1,-11,-58
1564164023041845,41,-6,21,17,3,3,2,29
1564164023041845,-31,13,3,22,27,14,15,-7
1564164023043841,12,8,1,-13,4,-2,27,17
1564164023043841,31,30,3,-12,-24,-4,-32,7
1564164023055816,60,-43,-8,36,16,8,45,30
1564164023055816,13,-4,-11,-29,5,0,2,9
1564164023064800,-33,24,8,-21,-27,-4,4,-11
1564164023064800,31,-7,11,40,27,0,-14,3
1564164023079292,29,8,-5,-16,-10,-7,5,15
1564164023079292,-31,11,4,-28,-18,-6,4,-4
1564164023081280,21,4,11,11,20,14,11,-11
1564164023081280,-24,-31,-18,-17,-8,-18,-23,10
1564164023101232,74,8,-5,13,-9,-7,-3,12
1564164023101232,-60,-4,10,8,14,8,-6,-22
1564164023109717,-7,18,3,6,0,3,17,12
1564164023109717,-37,4,8,-2,0,0,-16,-26
1564164023115709,-42,-33,-11,-17,1,-1,-7,-4
1564164023115709,60,23,2,3,-16,-10,-1,0
1564164023124690,2,-13,-6,14,26,16,33,32
1564164023124690,21,-1,-8,1,-10,1,3,-7
1564164023139661,-49,33,7,-46,-17,-12,-30,-19
