timestamp,x,y,z
1563815723337135,-0.835938,-0.358398,0.413086
1563815723349131,-0.835449,-0.360352,0.405273
1563815723372119,-0.833984,-0.35791,0.416992
1563815723386111,-0.827637,-0.358887,0.416504
1563815723415094,-0.827148,-0.35791,0.414063
1563815723432083,-0.825684,-0.365723,0.407227
1563815723446107,-0.830078,-0.365234,0.408203
1563815723470060,-0.833984,-0.361328,0.406738
1563815723492055,-0.828125,-0.370117,0.404297
1563815723506040,-0.827637,-0.366699,0.407227
1563815723529026,-0.827637,-0.366211,0.403809
1563815723552013,-0.831055,-0.360352,0.405273
1563815723579996,-0.827148,-0.359863,0.405762
1563815723588990,-0.830078,-0.361328,0.407715
1563815723617997,-0.835938,-0.362305,0.409668
1563815723641963,-0.829102,-0.362793,0.408691
1563815723656952,-0.829102,-0.362305,0.404297
1563815723671951,-0.839355,-0.362305,0.408203
1563815723692991,-0.834473,-0.36084,0.408203
1563815723708924,-0.831543,-0.362305,0.412109
1563815723731911,-0.834961,-0.364746,0.407227
1563815723752898,-0.828125,-0.359863,0.40625
1563815723768893,-0.822754,-0.367676,0.40332
1563815723798876,-0.832031,-0.368164,0.405273
1563815723812863,-0.831543,-0.366211,0.410156
1563815723828866,-0.822266,-0.362793,0.40918
1563815723857896,-0.824707,-0.367188,0.414063
1563815723873831,-0.833008,-0.367188,0.409668
1563815723888819,-0.82959,-0.368652,0.416504
1563815723911806,-0.824219,-0.366699,0.418457
1563815723934796,-0.822266,-0.366699,0.412109
1563815723949786,-0.830566,-0.370117,0.408691
1563815723971771,-0.83252,-0.365723,0.416504
1563815723994761,-0.828125,-0.367188,0.418457
1563815724009752,-0.83252,-0.372559,0.414551
1563815724031741,-0.836426,-0.374512,0.42334
1563815724054727,-0.830078,-0.365234,0.416016
1563815724076718,-0.830566,-0.364258,0.412109
1563815724099699,-0.832031,-0.357422,0.419922
1563815724114691,-0.832031,-0.36084,0.413086
1563815724128686,-0.819824,-0.361816,0.406738
1563815724151668,-0.816895,-0.350098,0.399902
1563815724174655,-0.82959,-0.347656,0.391113
1563815724188648,-0.833984,-0.345215,0.393555
1563815724212632,-0.83252,-0.342773,0.396484
1563815724235621,-0.822754,-0.348145,0.394531
1563815724248615,-0.824219,-0.348633,0.395996
1563815724271601,-0.819824,-0.350098,0.400879
1563815724301615,-0.827637,-0.346191,0.404785
1563815724308586,-0.833008,-0.34668,0.408691
1563815724332565,-0.833008,-0.35498,0.416016
1563815724354557,-0.833984,-0.367188,0.414551
1563815724368545,-0.830078,-0.36377,0.420898
1563815724391530,-0.82959,-0.368652,0.419434
1563815724414516,-0.830566,-0.368652,0.416992
1563815724435505,-0.827637,-0.373047,0.427246
1563815724451503,-0.82959,-0.365234,0.426758
1563815724474486,-0.828125,-0.366699,0.421875
1563815724495483,-0.833984,-0.367188,0.42627
1563815724519456,-0.831055,-0.364258,0.42041
1563815724541446,-0.828125,-0.357422,0.42334
1563815724555445,-0.825195,-0.350098,0.425781
1563815724571429,-0.817383,-0.333496,0.402344
1563815724601421,-0.838379,-0.356445,0.377441
1563815724615402,-0.818359,-0.355957,0.416016
1563815724639396,-0.797363,-0.37207,0.441406
1563815724654411,-0.818848,-0.396484,0.443359
1563815724675428,-0.833984,-0.385254,0.433594
