timestamp,roll,pitch,yaw
1564164035012916,-0.281557,0.0165319,0.722321
1564164035042846,-0.281601,0.0164189,0.72234
1564164035049341,-0.281329,0.0167852,0.722041
1564164035072795,-0.280845,0.0169416,0.72158
1564164035095258,-0.280845,0.0169416,0.72158
1564164035117709,-0.280919,0.0170975,0.721565
1564164035132689,-0.280919,0.0170975,0.721565
1564164035155139,-0.280459,0.0169049,0.721441
1564164035170111,-0.279955,0.0168253,0.721297
1564164035192577,-0.279955,0.0168253,0.721297
1564164035215035,-0.279808,0.0165136,0.721328
1564164035229508,-0.279925,0.0165564,0.721331
1564164035252957,-0.279202,0.0163863,0.721212
1564164035275447,-0.279158,0.0164994,0.721194
1564164035289421,-0.279158,0.0164994,0.721194
1564164035312852,-0.279158,0.0164994,0.721194
1564164035335304,-0.278513,0.0167269,0.720711
1564164035349777,-0.278343,0.0164858,0.720504
1564164035372733,-0.27849,0.0163668,0.720102
1564164035395199,-0.278296,0.0164754,0.719559
1564164035416158,-0.278327,0.0166907,0.719134
1564164035432624,-0.278608,0.0166093,0.718768
1564164035455089,-0.278847,0.0162801,0.718546
1564164035476541,-0.278667,0.0160067,0.718056
1564164035492519,-0.278433,0.0158679,0.717657
1564164035514978,-0.278482,0.0157173,0.717425
1564164035536429,-0.278732,0.0153667,0.717094
1564164035552900,-0.278516,0.0148621,0.716889
1564164035575358,-0.277957,0.0142087,0.716563
1564164035596317,-0.277784,0.0135911,0.716377
1564164035614285,-0.27796,0.0130848,0.716061
1564164035635247,-0.278069,0.0120247,0.715673
1564164035656239,-0.27748,0.0111029,0.715381
1564164035673175,-0.276643,0.0108021,0.714616
1564164035695142,-0.276408,0.0106109,0.713825
1564164035725088,-0.276701,0.0101469,0.713514
1564164035732564,-0.276701,0.0101469,0.713514
1564164035755523,-0.276117,0.0109684,0.713354
1564164035776483,-0.276574,0.011573,0.713708
1564164035793453,-0.27715,0.0114825,0.714249
1564164035815411,-0.276533,0.0114319,0.714634
1564164035837869,-0.27558,0.0118518,0.714529
1564164035852843,-0.275537,0.0119651,0.71451
1564164035875807,-0.275537,0.0119651,0.71451
1564164035897765,-0.275654,0.0120075,0.714514
1564164035912738,-0.275654,0.0120075,0.714514
1564164035935189,-0.275654,0.0120075,0.714514
1564164035957647,-0.275611,0.0121207,0.714495
1564164035972119,-0.275611,0.0121207,0.714495
1564164036002572,-0.275728,0.0121631,0.714499
1564164036017536,-0.275728,0.0121631,0.714499
1564164036032013,-0.276289,0.0117452,0.714714
1564164036055466,-0.276284,0.0117292,0.714573
1564164036077923,-0.276289,0.0117452,0.714714
1564164036093403,-0.276245,0.0118585,0.714695
1564164036115358,-0.276881,0.011543,0.714504
1564164036137813,-0.276881,0.011543,0.714504
1564164036152785,-0.276256,0.0117841,0.714195
1564164036176739,-0.276213,0.0118973,0.714176
1564164036198200,-0.276213,0.0118973,0.714176
1564164036212179,-0.276213,0.0118973,0.714176
1564164036235140,-0.276271,0.0120581,0.714129
1564164036257598,-0.276134,0.0117257,0.71405
1564164036280062,-0.27599,0.0114305,0.714221
1564164036295520,-0.275941,0.0115809,0.714452
1564164036317978,-0.273555,0.0131162,0.714938
1564164036338971,-0.26466,0.0141587,0.716105
1564164036355408,-0.248605,0.014643,0.716723
1564164036377873,-0.238643,0.0217035,0.717984
1564164036398858,-0.235875,0.0260911,0.719511
1564164036415297,-0.23859,0.0298975,0.721786
1564164036437763,-0.24505,0.029636,0.723207
1564164036458753,-0.259256,0.0243833,0.726193
1564164036476216,-0.276232,0.0166156,0.730654
1564164036505138,-0.279408,0.00988241,0.732257
1564164036519104,-0.265253,0.00693456,0.730115
1564164036535074,-0.246947,0.00680427,0.726145
1564164036557532,-0.237531,0.00977767,0.722778
